iter	Logloss
0	0.4322840373
1	0.2611589697
2	0.15777621
3	0.0887169838
4	0.05507815215
5	0.03561519914
6	0.02739205791
7	0.02125117017
8	0.01728946798
9	0.01392139991
10	0.01107364727
11	0.009359947509
12	0.007863335311
13	0.007111492256
14	0.006162856602
15	0.005485251546
16	0.004951483674
17	0.004610848924
18	0.004292951276
19	0.003804151383
20	0.003545925849
21	0.003257947457
22	0.002931212799
23	0.002787693507
24	0.002605148281
25	0.002487941335
26	0.0023436269
27	0.002223720567
28	0.002126444131
29	0.001968494306
30	0.001881796039
31	0.001789799374
32	0.001688897817
33	0.001606688317
34	0.001539951708
35	0.001490880114
36	0.001405853882
37	0.001348769913
38	0.001308912411
39	0.001273753328
40	0.001241935003
41	0.001199075952
42	0.001159573595
43	0.001132603114
44	0.001097435028
45	0.001067908998
46	0.001037581513
47	0.001006514144
48	0.0009833479093
49	0.0009608516056
50	0.0009400465836
51	0.0009206959771
52	0.0008992937704
53	0.0008773060722
54	0.0008584545511
55	0.0008398667495
56	0.00082242939
57	0.0008090018916
58	0.0007920986455
59	0.0007790495745
60	0.0007645156131
61	0.0007541530455
62	0.0007422747504
63	0.0007326536708
64	0.0007195383207
65	0.0007106811326
66	0.0006987468546
67	0.0006902750271
68	0.0006821266272
69	0.0006742665751
70	0.0006663852061
71	0.0006565991789
72	0.0006493253944
73	0.0006397079883
74	0.0006330155043
75	0.0006236221848
76	0.0006154913766
77	0.0006094507149
78	0.0006032518318
79	0.0005967668775
80	0.0005902185933
81	0.0005838418793
82	0.0005777570833
83	0.0005728316804
84	0.0005668439488
85	0.000560755531
86	0.0005550184287
87	0.0005493549527
88	0.0005418868322
89	0.0005365000624
90	0.0005316497344
91	0.000526336953
92	0.0005222135741
93	0.0005173378934
94	0.0005126232281
95	0.0005079111498
96	0.0005030121861
97	0.0004985070166
98	0.0004938338987
99	0.000489317812
100	0.0004849722609
101	0.0004804610896
102	0.0004762442162
103	0.0004721944117
104	0.0004680988172
105	0.0004640932505
106	0.000460127472
107	0.0004562047414
108	0.0004525171179
109	0.0004487430366
110	0.0004450736774
111	0.000441115453
112	0.000437660505
113	0.0004341502984
114	0.0004309705045
115	0.0004274966971
116	0.0004240192162
117	0.0004207414523
118	0.0004175363315
119	0.0004144704176
120	0.0004117769551
121	0.0004084187094
122	0.0004053430425
123	0.0004020486958
124	0.0003991651142
125	0.00039661655
126	0.0003938058184
127	0.0003907547539
128	0.0003877067938
129	0.0003852366159
130	0.0003828712636
131	0.0003801840099
132	0.0003778659997
133	0.0003754908685
134	0.0003732514257
135	0.0003709276207
136	0.0003685741427
137	0.0003664944735
138	0.0003640559605
139	0.0003619110212
140	0.0003597448942
141	0.0003573515245
142	0.0003552925773
143	0.0003531881505
144	0.0003511857293
145	0.0003491874474
